,WALKDESTSalljob,BIKEDESTSalljob,AUTODESTSalljob,TRANDESTSalljob,WALKDESTSedu,BIKEDESTSedu,AUTODESTSedu,TRANDESTSedu,WALKDESTSpoi2,BIKEDESTSpoi2,AUTODESTSpoi2,TRANDESTSpoi2,TOT_COLLISNS,TOT_COLLISNS_PER_100MVMT,FATAL_COLLISNS,FATAL_COLLISNS_PER_100MVMT,BIKEPED_COLLISNS,BIKEPED_COLLISNS_PER_CLMILE,mix_index_proj,Intersxn_34_per_acre,pct_roadmi_bikeways,TrnVehStop_Acre,pct_ej_pop,emp_ind_pct,job_du_dens_ac
Ag,578.9345474457442,4181.0142256888985,153980.01422463678,1998.2257466212661,1.083223163814789,6.986049105221374,188.78230538206236,2.8561913802833065,2.921799791489321,24.681891995294162,141.74468919474705,9.810816061061107,5539,38.261387870087155,243,1.678555199933414,157,0.03435522728098926,0.4444690841589155,0.0010358613033449168,0.01925486497230535,0.00014827853334171186,0.24178872418240605,0.4574722217703214,0.012494691797364866
Arterials & Suburban Corridors,5337.598082715118,58753.26895822824,581272.1813926157,39399.81702759176,6.116137176680751,53.544251060954565,598.96543784912,29.99276711295406,23.408610137958803,199.25458633185085,686.1842636258035,122.29326086755307,10869,81.91860709044987,175,1.3189581599805618,1751,2.015364348787501,0.42466592552602567,0.14823101671056696,0.21276540701921592,1.9930423877659478,0.6769243115151858,0.09335777108616249,10.249114257121857
Developing,945.1431045548768,6511.420258560485,308544.67136297125,3391.2660119608463,1.678553169790824,9.967731374222655,349.61498891487736,5.00769989247431,4.949237842391726,35.42549533870593,276.07970203190297,17.3879889924732,1307,40.697212673638816,36,1.120963776779646,108,0.19834692412677613,0.48716946490514357,0.020811803951479465,0.14788268801694826,0.012345256964506921,0.24228819695872555,0.22868241326550212,0.06274325182873551
Established Communities,3208.991897400595,37113.50649253686,510067.7869832301,20656.833789609966,4.80606669792341,40.36021847232496,526.1547325342686,19.98804998958678,17.393537487060424,146.64060380744067,552.587123726433,78.94860762493549,29028,67.67608178678405,479,1.1167439429471393,3747,0.5645147643661877,0.7448253620001763,0.12142166529471966,0.1865091210239666,0.5305234323207757,0.3679790090112011,0.16420091105023224,4.103210505584405
Rural & Small Town Main Street,2121.6426564872895,8340.183800099043,150264.42310102345,5562.764840706503,3.959830307032024,14.15156421261142,184.26041218223835,9.372949983492903,14.1210127104655,49.18685572796302,149.34917464509738,34.94070782436448,494,73.89982127499242,8,1.1967582392711322,103,1.0529749815221,0.29230477690197315,0.09128510575095719,0.27710929190247396,2.6382165900471786,0.8339279922153746,0.0233746704013508,6.519706801729156
Rural Residential,469.9902509645278,4359.477547562376,180455.7855386203,1608.6562455774738,0.8749865664170643,7.208632703027579,222.13334429813358,2.745134420959795,2.691918431420622,24.794275012173646,164.28148889728843,9.399060738864089,3108,49.81908055631997,108,1.731164961416524,83,0.026295110259225422,0.35447257463142046,0.007604989943938808,0.012312614391675851,0.003825097822740141,0.05137670556252925,0.1519922431950119,0.12983708787623457
Small-Town Established Communities,1364.000856776242,7127.5982283250505,115470.05312773891,3942.737865508205,2.8359657898456954,11.725412674938292,163.77232310435943,6.3673234849555795,9.683589238916499,43.011998510238044,144.64461021519992,25.241365850741076,1498,61.135362311155795,41,1.6732642555122743,202,0.2852451001700632,0.6262206970088012,0.05884413477423325,0.09949633256047921,0.07414928495812816,0.34730153421679694,0.13438717051823987,1.443210948938651
Urban core,64913.70256122384,213458.71280866358,775596.8807292792,163632.2877949876,15.148187138222761,116.92795528274283,822.9540932510655,67.7121830672349,84.08485051841487,485.22723490872085,1297.8727816296673,319.4746743209719,2991,98.52120983140283,22,0.7246628606789911,545,3.3821897544729946,0.22767566428252106,0.37846124650969093,0.21897373041792786,8.475827141427393,0.5619245097350108,0.016589955364791357,76.49671883523688
REGION,3842.410877719361,37354.0237093426,475047.24569611414,22213.193547074632,4.638241418756692,38.1860827979409,492.5529013364859,19.460658420459307,17.147198276435414,140.100123535153,520.3276979954376,77.93892290099564,55020,63.36983481895877,1113,1.2819088722919139,6723,0.4014009290876814,0.9999891200962349,0.0148007159847377,0.10524657474168692,0.07332683168343235,0.3746385676273582,0.13021497769289114,0.38506745756398186
