,Ag,Arterials & Suburban Corridors,Developing,Established Communities,Rural & Small Town Main Street,Rural Residential,Small-Town Established Communities,Urban core
TOT_COLLISNS,5539.0,10869.0,1307.0,29028.0,494.0,3108.0,1498.0,2991.0
TOT_COLLISNS_PER_100MVMT,38.261387870087155,81.91860709044987,40.697212673638816,67.67608178678405,73.89982127499242,49.81908055631997,61.135362311155795,98.52120983140283
FATAL_COLLISNS,243.0,175.0,36.0,479.0,8.0,108.0,41.0,22.0
FATAL_COLLISNS_PER_100MVMT,1.678555199933414,1.3189581599805618,1.120963776779646,1.1167439429471393,1.1967582392711322,1.731164961416524,1.6732642555122743,0.7246628606789911
BIKEPED_COLLISNS,157.0,1751.0,108.0,3747.0,103.0,83.0,202.0,545.0
BIKEPED_COLLISNS_PER_CLMILE,0.03435522728098926,2.015364348787501,0.19834692412677613,0.5645147643661877,1.0529749815221,0.026295110259225422,0.2852451001700632,3.3821897544729946
